,Make,Model,Speed [kts],Speed [mph],GPH,NMPG,MPG,Engine,Source,Seats,Seat NMPG
17,Diamond,Diamond DA-42,162,,16.6,9.759036144578310,,,POH,4,39.0361445783132
18,Diamond,Diamond DA-42,125,,7.5,16.666666666666700,,,POH,4,66.6666666666668
19,Diamond,Diamond DA-42,135,,8.8,15.34090909090910,,,POH,4,61.3636363636364
20,Diamond,Diamond DA-42,145,,10.5,13.80952380952380,,,POH,4,55.2380952380952
21,Diamond,Diamond DA-42,153,,12.5,12.24,,,POH,4,48.96
22,Diamond,Diamond DA-42,160,,14.5,11.03448275862070,,,POH,4,44.1379310344828
23,Diamond,Diamond DA-42,163,,16.6,9.819277108433730,,,POH,4,39.2771084337349
24,Diamond,Diamond DA-42,127,,7.5,16.933333333333300,,,POH,4,67.7333333333332
25,Diamond,Diamond DA-42,138,,8.8,15.68181818181820,,,POH,4,62.7272727272728
26,Diamond,Diamond DA-42,148,,10.5,14.095238095238100,,,POH,4,56.3809523809524
27,Diamond,Diamond DA-42,156,,12.5,12.48,,,POH,4,49.92
28,Diamond,Diamond DA-42,163,,14.5,11.241379310344800,,,POH,4,44.9655172413792
29,Diamond,Diamond DA-42,163,,16.6,9.819277108433730,,,POH,4,39.2771084337349
30,Diamond,Diamond DA-42,128,,7.5,17.066666666666700,,,POH,4,68.2666666666668
31,Diamond,Diamond DA-42,141,,8.8,16.02272727272730,,,POH,4,64.0909090909092
32,Diamond,Diamond DA-42,152,,10.5,14.476190476190500,,,POH,4,57.904761904762
33,Diamond,Diamond DA-42,159,,12.5,12.72,,,POH,4,50.88
34,Diamond,Diamond DA-42,162,,14.5,11.172413793103400,,,POH,4,44.6896551724136
35,Diamond,Diamond DA-42,162,,16.6,9.759036144578310,,,POH,4,39.0361445783132
36,Diamond,Diamond DA-42,131,,7.5,17.466666666666700,,,POH,4,69.8666666666668
37,Diamond,Diamond DA-42,143,,8.8,16.25,,,POH,4,65
38,Diamond,Diamond DA-42,155,,10.5,14.761904761904800,,,POH,4,59.0476190476192
39,Diamond,Diamond DA-42,162,,12.5,12.96,,,POH,4,51.84
40,Diamond,Diamond DA-42,162,,14.5,11.172413793103400,,,POH,4,44.6896551724136
41,Diamond,Diamond DA-42,162,,16.6,9.759036144578310,,,POH,4,39.0361445783132
42,Diamond,Diamond DA-42,133,,7.5,17.733333333333300,,,POH,4,70.9333333333332
43,Diamond,Diamond DA-42,146,,8.8,16.59090909090910,,,POH,4,66.3636363636364
44,Diamond,Diamond DA-42,156,,10.5,14.857142857142900,,,POH,4,59.4285714285716
45,Diamond,Diamond DA-42,156,,12.5,12.48,,,POH,4,49.92
46,Diamond,Diamond DA-42,156,,14.5,10.758620689655200,,,POH,4,43.0344827586208
47,Diamond,Diamond DA-42,156,,16.6,9.397590361445780,,,POH,4,37.5903614457831
48,Diamond,Diamond DA-42,135,,7.5,18.0,,,POH,4,72
49,Diamond,Diamond DA-42,149,,8.8,16.93181818181820,,,POH,4,67.7272727272728
50,Diamond,Diamond DA-42,157,,10.5,14.952380952381000,,,POH,4,59.809523809524
51,Diamond,Diamond DA-42,157,,12.5,12.56,,,POH,4,50.24
52,Diamond,Diamond DA-42,157,,14.5,10.827586206896600,,,POH,4,43.3103448275864
53,Diamond,Diamond DA-42,157,,16.6,9.457831325301200,,,POH,4,37.8313253012048
0,Sling,Sling TSI,135,,7.4,18.243243243243200,,,POH,4,72.9729729729728
1,Sling,Sling TSI,136,,7.4,18.37837837837840,,,POH,4,73.5135135135136
2,Sling,Sling TSI,138,,7.4,18.64864864864870,,,POH,4,74.5945945945948
3,Sling,Sling TSI,139,,7.4,18.783783783783800,,,POH,4,75.1351351351352
4,Sling,Sling TSI,141,,7.4,19.054054054054100,,,POH,4,76.2162162162164
5,Sling,Sling TSI,142,,7.4,19.18918918918920,,,POH,4,76.7567567567568
6,Sling,Sling TSI,143,,7.4,19.324324324324300,,,POH,4,77.2972972972972
7,Sling,Sling TSI,145,,7.4,19.594594594594600,,,POH,4,78.3783783783784
8,Sling,Sling TSI,146,,7.4,19.72972972972970,,,POH,4,78.9189189189188
9,Sling,Sling TSI,147,,7.4,19.864864864864900,,,POH,4,79.4594594594596
10,Sling,Sling TSI,149,,7.4,20.135135135135100,,,POH,4,80.5405405405404
11,Sling,Sling TSI,150,,7.4,20.27027027027030,,,POH,4,81.0810810810812
12,Sling,Sling TSI,152,,7.4,20.54054054054050,,,POH,4,82.162162162162
13,Sling,Sling TSI,153,,7.4,20.675675675675700,,,POH,4,82.7027027027028
14,Sling,Sling TSI,154,,7.4,20.81081081081080,,,POH,4,83.2432432432432
15,Sling,Sling TSI,156,,7.4,21.08108108108110,,,POH,4,84.3243243243244
16,Sling,Sling TSI,157,,7.4,21.216216216216200,,,POH,4,84.8648648648648
17,Sling,Sling TSI,159,,7.4,21.486486486486500,,,POH,4,85.945945945946
18,Sling,Sling TSI,160,,7.4,21.62162162162160,,,POH,4,86.4864864864864
19,Sling,Sling TSI,130,,7.13,18.2328190743338,,,POH,4,72.9312762973352
20,Sling,Sling TSI,131,,7.13,18.373071528751800,,,POH,4,73.4922861150072
21,Sling,Sling TSI,133,,7.13,18.65357643758770,,,POH,4,74.6143057503508
22,Sling,Sling TSI,134,,7.13,18.79382889200560,,,POH,4,75.1753155680224
23,Sling,Sling TSI,136,,7.13,19.074333800841500,,,POH,4,76.297335203366
24,Sling,Sling TSI,137,,7.13,19.214586255259500,,,POH,4,76.858345021038
25,Sling,Sling TSI,138,,7.13,19.35483870967740,,,POH,4,77.4193548387096
26,Sling,Sling TSI,140,,7.13,19.635343618513300,,,POH,4,78.5413744740532
27,Sling,Sling TSI,141,,7.13,19.775596072931300,,,POH,4,79.1023842917252
28,Sling,Sling TSI,142,,7.13,19.91584852734920,,,POH,4,79.6633941093968
29,Sling,Sling TSI,144,,7.13,20.196353436185100,,,POH,4,80.7854137447404
30,Sling,Sling TSI,145,,7.13,20.336605890603100,,,POH,4,81.3464235624124
31,Sling,Sling TSI,147,,7.13,20.61711079943900,,,POH,4,82.468443197756
32,Sling,Sling TSI,148,,7.13,20.757363253856900,,,POH,4,83.0294530154276
33,Sling,Sling TSI,149,,7.13,20.897615708274900,,,POH,4,83.5904628330996
34,Sling,Sling TSI,151,,7.13,21.1781206171108,,,POH,4,84.7124824684432
35,Sling,Sling TSI,152,,7.13,21.318373071528800,,,POH,4,85.2734922861152
36,Sling,Sling TSI,154,,7.13,21.598877980364700,,,POH,4,86.3955119214588
37,Sling,Sling TSI,155,,7.13,21.73913043478260,,,POH,4,86.9565217391304
0,Mooney,Mooney M20J,156,,10.8,14.444444444444400,,,POH,4,57.7777777777776
1,Mooney,Mooney M20J,152,,10.3,14.757281553398100,,,POH,4,59.0291262135924
2,Mooney,Mooney M20J,147,,9.7,15.154639175257700,,,POH,4,60.6185567010308
3,Mooney,Mooney M20J,142,,9.2,15.434782608695700,,,POH,4,61.7391304347828
4,Mooney,Mooney M20J,136,,8.6,15.813953488372100,,,POH,4,63.2558139534884
5,Mooney,Mooney M20J,113,,7.0,16.142857142857100,,,POH,4,64.5714285714284
6,Mooney,Mooney M20J,156,,10.5,14.857142857142900,,,POH,4,59.4285714285716
7,Mooney,Mooney M20J,152,,10.0,15.2,,,POH,4,60.8
8,Mooney,Mooney M20J,142,,8.9,15.95505617977530,,,POH,4,63.8202247191012
9,Mooney,Mooney M20J,136,,8.3,16.385542168674700,,,POH,4,65.5421686746988
10,Mooney,Mooney M20J,130,,7.8,16.666666666666700,,,POH,4,66.6666666666668
11,Mooney,Mooney M20J,113,,6.8,16.61764705882350,,,POH,4,66.470588235294
12,Mooney,Mooney M20J,156,,10.3,15.145631067961200,,,POH,4,60.5825242718448
13,Mooney,Mooney M20J,147,,9.2,15.978260869565200,,,POH,4,63.9130434782608
14,Mooney,Mooney M20J,136,,8.1,16.790123456790100,,,POH,4,67.1604938271604
15,Mooney,Mooney M20J,122,,7.0,17.428571428571400,,,POH,4,69.7142857142856
16,Mooney,Mooney M20J,111,,6.4,17.34375,,,POH,4,69.375
17,Mooney,Mooney M20J,150,,9.3,16.129032258064500,,,POH,4,64.516129032258
18,Mooney,Mooney M20J,136,,7.8,17.435897435897400,,,POH,4,69.7435897435896
19,Mooney,Mooney M20J,130,,7.3,17.808219178082200,,,POH,4,71.2328767123288
20,Mooney,Mooney M20J,122,,6.8,17.941176470588200,,,POH,4,71.7647058823528
21,Mooney,Mooney M20J,106,,5.9,17.966101694915300,,,POH,4,71.8644067796612
22,Mooney,Mooney M20J,134,,7.4,18.10810810810810,,,POH,4,72.4324324324324
23,Mooney,Mooney M20J,130,,7.1,18.30985915492960,,,POH,4,73.2394366197184
24,Mooney,Mooney M20J,122,,6.5,18.76923076923080,,,POH,4,75.0769230769232
25,Mooney,Mooney M20J,103,,5.6,18.392857142857100,,,POH,4,73.5714285714284
0,DarkAero,DarkAero 1,238.9684,275,11,21.7244,,,Projected,2,43.4488
1,DarkAero,DarkAero 1,221.58888,255,8,27.69861,,,Projected,2,55.39722
0,Lancair,Lancair Legacy RG,200,,9.8,20.408163265306100,,,Pi In the Ski,2,40.8163265306122
1,Lancair,Lancair Legacy RG,220,,11.0,20.0,,,Pi In the Ski,2,40
2,Lancair,Lancair Legacy RG,230,,13.0,17.692307692307700,,,Pi In the Ski,2,35.3846153846154
0,Lancair,Lancair LX-7,250,,17.0,14.70588,,,https://www.youtube.com/watch?v=j6e_bmpvbQQ,4,58.82352
1,Lancair,Lancair LX-7,260,,24.0,10.83333,,,https://www.youtube.com/watch?v=j6e_bmpvbQQ,4,43.33332
2,Lancair,Lancair LX-7,235,,17.0,13.823534,,,https://www.youtube.com/watch?v=BttLLRzk82M,4,55.294136
3,Lancair,Lancair LX-7,242,,17.0,14.235294,,,https://www.youtube.com/watch?v=BttLLRzk82M,4,56.941176
0,Lancair,Lancair Legacy RG,226,,15.5,14.6,,,Sample POH,2,29.2
0,Lancair,Lancair Legacy RG,222,,14.9,14.9,,,Sample POH,2,29.8
0,Lancair,Lancair Legacy RG,218,,14,15.6,,,Sample POH,2,31.2
0,Lancair,Lancair Legacy RG,210,,12.8,16.4,,,Sample POH,2,32.8
0,Lancair,Lancair Legacy RG,207,,12.3,16.8,,,Sample POH,2,33.6
0,Lancair,Lancair Legacy RG,194,,11.2,17.3,,,Sample POH,2,34.6
0,Lancair,Lancair Legacy RG,184,,11,17.6,,,Sample POH,2,35.2
0,Lancair,Lancair Legacy RG,172,,9.4,18.3,,,Sample POH,2,36.6
0,Lancair,Lancair Legacy RG,169,,9.2,18.4,,,Sample POH,2,36.8
0,Lancair,Lancair Legacy RG,152,,7.9,19.2,,,Sample POH,2,38.4
0,Lancair,Lancair Legacy RG,148,,7.8,19,,,Sample POH,2,38
0,Lancair,Lancair Legacy RG,220,,14.2,15.5,,,Sample POH,2,31
0,Lancair,Lancair Legacy RG,217,,13.6,15.9,,,Sample POH,2,31.8
0,Lancair,Lancair Legacy RG,203,,12,16,,,Sample POH,2,32
0,Lancair,Lancair Legacy RG,202,,11.5,16.9,,,Sample POH,2,33.8
0,Lancair,Lancair Legacy RG,181,,10.1,17.9,,,Sample POH,2,35.8
0,Lancair,Lancair Legacy RG,178,,9.8,18.2,,,Sample POH,2,36.4
0,Lancair,Lancair Legacy RG,163,,8.5,19.2,,,Sample POH,2,38.4
0,Lancair,Lancair Legacy RG,164,,8.3,19.8,,,Sample POH,2,39.6
0,Lancair,Lancair Legacy RG,164,,8.2,20,,,Sample POH,2,40
0,Lancair,Lancair Legacy RG,164,,8.1,20.2,,,Sample POH,2,40.4
0,Lancair,Lancair Legacy RG,164,,8,20.5,,,Sample POH,2,41
0,Lancair,Lancair Legacy RG,220,,13.2,16.6,,,Sample POH,2,33.2
0,Lancair,Lancair Legacy RG,215,,12.6,17.1,,,Sample POH,2,34.2
0,Lancair,Lancair Legacy RG,214,,11,19.4,,,Sample POH,2,38.8
0,Lancair,Lancair Legacy RG,216,,11.4,18.9,,,Sample POH,2,37.8
0,Lancair,Lancair Legacy RG,183,,9.5,19.3,,,Sample POH,2,38.6
0,Lancair,Lancair Legacy RG,179,,9.4,19,,,Sample POH,2,38
0,Lancair,Lancair Legacy RG,172,,8.2,21,,,Sample POH,2,42
0,Lancair,Lancair Legacy RG,166,,8.2,20.2,,,Sample POH,2,40.4
0,Lancair,Lancair Legacy RG,217,,12.2,17.8,,,Sample POH,2,35.6
0,Lancair,Lancair Legacy RG,214,,11.6,18.4,,,Sample POH,2,36.8
0,Lancair,Lancair Legacy RG,195,,10.2,19.1,,,Sample POH,2,38.2
0,Lancair,Lancair Legacy RG,192,,9.7,19.8,,,Sample POH,2,39.6
0,Lancair,Lancair Legacy RG,180,,8.7,20.6,,,Sample POH,2,41.2
0,Lancair,Lancair Legacy RG,177,,8.5,20.8,,,Sample POH,2,41.6
0,Lancair,Lancair Legacy RG,208,,11.5,18.1,,,Sample POH,2,36.2
0,Lancair,Lancair Legacy RG,206,,11,18.7,,,Sample POH,2,37.4
0,Lancair,Lancair Legacy RG,185,,9.4,19.7,,,Sample POH,2,39.4
0,Lancair,Lancair Legacy RG,185,,9.3,19.9,,,Sample POH,2,39.8
0,Lancair,Lancair Legacy RG,171,,8.2,20.9,,,Sample POH,2,41.8
0,Lancair,Lancair Legacy RG,170,,8,20.8,,,Sample POH,2,41.6
0,Lancair,Lancair Legacy RG,208,,11.5,18.1,,,Sample POH,2,36.2
0,Lancair,Lancair Legacy RG,206,,11,18.7,,,Sample POH,2,37.4
0,Lancair,Lancair Legacy RG,185,,9.4,19.7,,,Sample POH,2,39.4
0,Lancair,Lancair Legacy RG,185,,9.3,19.9,,,Sample POH,2,39.8
0,Lancair,Lancair Legacy RG,171,,8.2,20.9,,,Sample POH,2,41.8
0,Lancair,Lancair Legacy RG,170,,8,21.2,,,Sample POH,2,42.4
0,Lancair,Lancair Legacy RG,208,,10.8,19.2,,,Sample POH,2,38.4
0,Lancair,Lancair Legacy RG,185,,8.4,21.8,,,Sample POH,2,43.6
0,Lancair,Lancair Legacy RG,176,,7.9,22.3,,,Sample POH,2,44.6
0,Lancair,Lancair Legacy RG,205,,10.2,20.1,,,Sample POH,2,40.2
0,Lancair,Lancair Legacy RG,193,,9,21.4,,,Sample POH,2,42.8
0,Lancair,Lancair Legacy RG,182,,8.1,22.5,,,Sample POH,2,45
0,Lancair,Lancair Legacy RG,173,,7.5,23,,,Sample POH,2,46
0,Lancair,Lancair Legacy RG,202,,9.6,21.1,,,Sample POH,2,42.2
0,Lancair,Lancair Legacy RG,197,,8.8,22.4,,,Sample POH,2,44.8
0,Lancair,Lancair Legacy RG,189,,8.1,23.3,,,Sample POH,2,46.6
0,Lancair,Lancair Legacy RG,182,,7.8,23.3,,,Sample POH,2,46.6
0,Lancair,Lancair Legacy RG,176,,7.4,23.8,,,Sample POH,2,47.6
0,Glasair,Glasair III,216,,11.6,18.62,,,POH,2,37.24
0,Glasair,Glasair III,234,,13.8,16.9565,,,POH,2,33.913
0,Glasair,Glasair III,245,,16.4,14.939,,,POH,2,29.878